epoch,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,0,,,,289061792.0,,
0,1,,,,288431488.0,,
0,2,,,,254837552.0,,
0,3,,,,211431024.0,,
,0,,,,,,268769984.0
0,3,,,,,268769984.0,
0,3,,,268781312.0,,,
1,4,,,,289059424.0,,
1,5,,,,288428736.0,,
1,6,,,,254834784.0,,
1,7,,,,211428272.0,,
,1,,,,,,268766176.0
1,7,,,,,268766176.0,
1,7,,,268778688.0,,,
2,8,,,,289055392.0,,
2,9,,,,288424192.0,,
2,10,,,,254829968.0,,
2,11,,,,211423584.0,,
,2,,,,,,268759872.0
2,11,,,,,268759872.0,
2,11,,,268774176.0,,,
,0,,289048704.0,,,,
,1,,288418848.0,,,,
,2,,254826560.0,,,,
,3,,211422048.0,,,,
3,12,268769504.0,,,,,
